iter	Passed	Remaining
357	744	1334
358	746	1333
359	747	1329
360	751	1329
361	753	1327
362	754	1324
363	756	1322
364	758	1319
365	760	1317
366	762	1315
367	768	1319
368	771	1319
369	773	1317
370	775	1314
371	777	1313
372	780	1311
373	782	1309
374	783	1306
375	785	1303
376	786	1299
377	788	1297
378	790	1294
379	791	1291
380	792	1288
381	796	1289
382	800	1289
383	802	1286
384	804	1284
385	807	1284
386	809	1282
387	811	1279
388	813	1277
389	814	1273
390	815	1270
391	816	1266
392	817	1263
393	819	1260
394	820	1256
395	821	1253
396	823	1250
397	827	1251
398	831	1252
399	833	1250
400	835	1248
401	837	1245
402	840	1244
403	841	1241
404	842	1238
405	844	1235
406	845	1232
407	847	1229
408	848	1226
409	849	1223
410	851	1220
411	858	1225
412	861	1224
413	862	1221
414	864	1218
415	866	1215
416	868	1214
417	870	1211
418	871	1208
419	872	1205
420	873	1201
421	875	1199
422	877	1196
423	878	1193
424	880	1191
425	885	1192
426	888	1191
427	890	1189
428	891	1187
429	893	1184
430	895	1181
431	896	1179
432	898	1176
433	899	1172
434	900	1169
435	901	1166
436	903	1163
437	904	1160
438	905	1156
439	906	1153
440	907	1150
441	908	1147
442	910	1144
443	916	1148
444	919	1146
445	921	1144
446	922	1141
447	923	1138
448	925	1135
449	926	1132
450	927	1129
451	929	1126
452	930	1123
453	931	1120
454	932	1117
455	933	1113
456	934	1110
457	936	1107
458	937	1104
459	938	1102
460	940	1100
461	944	1099
462	947	1099
463	949	1096
464	950	1093
465	951	1090
466	953	1087
467	954	1085
468	955	1082
469	957	1079
470	958	1076
471	959	1073
472	960	1070
473	962	1067
474	963	1064
475	964	1062
476	965	1059
477	967	1056
478	969	1054
479	971	1052
480	975	1052
481	978	1051
482	979	1048
483	981	1046
484	982	1043
485	983	1040
486	985	1037
487	986	1035
488	988	1032
489	989	1029
490	990	1026
491	991	1024
492	993	1021
493	994	1018
494	995	1015
495	997	1013
496	998	1010
497	1000	1008
498	1003	1008
499	1007	1007
500	1009	1005
501	1010	1002
502	1012	1000
503	1013	997
504	1014	994
505	1016	992
506	1017	989
507	1018	986
508	1020	984
509	1022	981
510	1024	980
511	1025	977
512	1027	975
513	1028	972
514	1032	971
515	1035	971
516	1037	969
517	1039	967
518	1041	965
519	1042	962
520	1043	959
521	1045	957
522	1046	954
523	1047	951
524	1049	949
525	1050	946
526	1051	943
527	1053	941
528	1054	938
529	1055	936
530	1056	933
531	1058	931
532	1061	930
533	1064	929
534	1066	927
535	1068	925
536	1070	922
537	1071	920
538	1073	918
539	1075	916
540	1076	913
541	1077	910
542	1079	908
543	1080	905
544	1081	902
545	1082	899
546	1083	897
547	1084	894
548	1086	892
549	1087	889
550	1089	888
551	1093	887
552	1095	885
553	1096	882
554	1098	880
555	1100	878
556	1101	875
557	1102	873
558	1103	870
559	1105	868
560	1106	865
561	1107	863
562	1108	860
563	1110	858
564	1111	855
565	1112	853
566	1114	851
567	1115	848
568	1117	846
569	1120	845
570	1123	843
571	1125	842
572	1127	840
573	1130	839
574	1132	837
575	1134	834
576	1135	832
577	1136	829
578	1138	827
579	1139	824
580	1140	822
581	1142	820
582	1143	817
583	1144	815
584	1146	813
585	1148	811
586	1151	810
587	1155	809
588	1157	807
589	1159	805
590	1160	803
591	1162	801
592	1163	798
593	1165	796
594	1166	794
595	1167	791
596	1169	789
597	1171	787
598	1172	784
599	1173	782
600	1175	780
601	1177	778
602	1182	778
603	1185	777
604	1186	774
605	1188	772
606	1189	770
607	1191	768
608	1193	765
609	1194	763
610	1195	761
611	1196	758
612	1197	756
613	1198	753
614	1199	751
615	1200	748
616	1202	746
617	1203	743
618	1204	741
619	1206	739
620	1209	737
621	1212	736
622	1214	735
623	1216	733
624	1218	731
625	1219	728
626	1221	726
627	1222	724
628	1224	721
629	1225	719
630	1226	717
631	1227	714
632	1229	712
633	1230	710
634	1231	707
635	1232	705
636	1234	703
637	1235	701
638	1237	699
639	1240	698
640	1244	696
641	1246	695
642	1248	692
643	1249	690
644	1251	688
645	1252	686
646	1254	684
647	1255	682
648	1257	679
649	1258	677
650	1259	675
651	1261	673
652	1262	670
653	1264	668
654	1265	666
655	1268	665
656	1271	664
657	1274	662
658	1276	660
659	1278	658
660	1279	656
661	1280	653
662	1281	651
663	1283	649
664	1284	647
665	1286	645
666	1288	643
667	1289	641
668	1292	639
669	1293	637
670	1296	635
671	1298	633
672	1302	633
673	1305	631
674	1307	629
675	1310	627
676	1311	625
677	1313	623
678	1314	621
679	1316	619
680	1318	617
681	1319	615
682	1321	613
683	1322	611
684	1324	609
685	1327	607
686	1333	607
687	1334	605
688	1336	603
689	1338	601
690	1340	599
691	1341	597
692	1344	595
693	1345	593
694	1347	591
695	1349	589
696	1350	587
697	1351	584
698	1352	582
699	1354	580
700	1357	579
701	1361	577
702	1364	576
703	1366	574
704	1369	572
705	1370	570
706	1372	568
707	1374	566
708	1376	564
709	1377	562
710	1379	560
711	1380	558
712	1382	556
713	1383	554
714	1387	552
715	1391	551
716	1394	550
717	1396	548
718	1399	546
719	1401	545
720	1403	543
721	1406	541
722	1407	539
723	1409	537
724	1410	535
725	1412	533
726	1414	531
727	1417	529
728	1425	529
729	1428	528
730	1430	526
731	1433	524
732	1434	522
733	1436	520
734	1440	519
735	1441	517
736	1447	516
737	1452	515
738	1458	515
739	1461	513
740	1463	511
741	1464	509
742	1466	507
743	1468	505
744	1469	503
745	1471	501
746	1473	499
747	1480	498
748	1484	497
749	1487	495
750	1491	494
751	1493	492
752	1495	490
753	1497	488
754	1499	486
755	1503	485
756	1509	484
757	1514	483
758	1518	482
759	1521	480
760	1524	478
761	1526	476
762	1528	474
763	1530	472
764	1538	472
765	1540	470
766	1542	468
767	1545	466
768	1547	464
769	1549	462
770	1551	460
771	1552	458
772	1554	456
773	1556	454
774	1557	452
775	1559	450
776	1562	448
777	1568	447
778	1573	446
779	1577	444
780	1579	442
781	1580	440
782	1582	438
783	1584	436
784	1585	434
785	1586	432
786	1588	429
787	1589	427
788	1591	425
789	1595	424
790	1600	422
791	1603	421
792	1606	419
793	1608	417
794	1610	415
795	1612	413
796	1613	410
797	1614	408
798	1616	406
799	1617	404
800	1619	402
801	1620	400
802	1623	398
803	1630	397
804	1632	395
805	1635	393
806	1637	391
807	1639	389
808	1640	387
809	1642	385
810	1644	383
811	1645	381
812	1647	378
813	1648	376
814	1650	374
815	1654	372
816	1659	371
817	1661	369
818	1663	367
819	1665	365
820	1668	363
821	1670	361
822	1671	359
823	1672	357
824	1674	355
825	1675	352
826	1676	350
827	1678	348
828	1680	346
829	1684	345
830	1690	343
831	1692	341
832	1695	339
833	1697	337
834	1699	335
835	1700	333
836	1701	331
837	1702	329
838	1704	327
839	1705	324
840	1706	322
841	1708	320
842	1711	318
843	1714	316
844	1717	315
845	1719	312
846	1720	310
847	1722	308
848	1724	306
849	1725	304
850	1727	302
851	1729	300
852	1730	298
853	1731	296
854	1733	293
855	1734	291
856	1736	289
857	1738	287
858	1742	285
859	1746	284
860	1750	282
861	1752	280
862	1754	278
863	1756	276
864	1757	274
865	1758	272
866	1760	269
867	1761	267
868	1762	265
869	1764	263
870	1766	261
871	1768	259
872	1769	257
873	1770	255
874	1772	253
875	1774	251
876	1775	249
877	1776	246
878	1778	244
879	1780	242
880	1783	240
881	1786	239
882	1788	236
883	1790	234
884	1791	232
885	1793	230
886	1795	228
887	1797	226
888	1798	224
889	1800	222
890	1801	220
891	1803	218
892	1804	216
893	1805	214
894	1806	211
895	1808	209
896	1813	208
897	1817	206
898	1819	204
899	1821	202
900	1823	200
901	1827	198
902	1828	196
903	1829	194
904	1831	192
905	1832	190
906	1833	188
907	1834	185
908	1835	183
909	1837	181
910	1840	179
911	1844	177
912	1846	175
913	1848	173
914	1851	171
915	1853	170
916	1856	168
917	1858	165
918	1859	163
919	1860	161
920	1861	159
921	1863	157
922	1864	155
923	1865	153
924	1867	151
925	1869	149
926	1872	147
927	1875	145
928	1877	143
929	1879	141
930	1881	139
931	1883	137
932	1885	135
933	1886	133
934	1887	131
935	1889	129
936	1890	127
937	1891	125
938	1892	122
939	1893	120
940	1894	118
941	1896	116
942	1897	114
943	1900	112
944	1904	110
945	1907	108
946	1909	106
947	1911	104
948	1913	102
949	1914	100
950	1916	98
951	1917	96
952	1919	94
953	1920	92
954	1922	90
955	1923	88
956	1925	86
957	1926	84
958	1929	82
959	1932	80
960	1936	78
961	1938	76
962	1940	74
963	1942	72
964	1943	70
965	1945	68
966	1946	66
967	1947	64
968	1949	62
969	1950	60
970	1951	58
971	1952	56
972	1954	54
973	1957	52
974	1960	50
975	1964	48
976	1965	46
977	1967	44
978	1970	42
979	1971	40
980	1973	38
981	1975	36
982	1976	34
983	1978	32
984	1979	30
985	1981	28
986	1982	26
987	1984	24
988	1986	22
989	1989	20
990	1993	18
991	1994	16
992	1996	14
993	1998	12
994	2000	10
995	2001	8
996	2003	6
997	2004	4
998	2005	2
999	2007	0
